state,region,obesity_pct,smoking_pct,exercise_pct,life_expectancy,median_income
Alabama,South,36.3,20.9,52.1,73.2,51734
Alaska,West,31.1,20.4,62.0,78.3,77640
Arizona,West,30.9,16.8,60.5,79.0,61529
Arkansas,South,37.4,22.3,49.8,73.7,48952
California,West,25.1,11.5,62.8,81.5,75235
Colorado,West,24.2,14.7,72.3,80.1,77127
Connecticut,Northeast,26.9,14.8,65.0,80.8,79855
Delaware,South,32.4,16.8,57.5,77.2,70176
Florida,South,28.4,14.2,56.0,79.5,59227
Georgia,South,32.3,16.6,56.4,76.6,61980
Hawaii,West,22.7,13.0,67.3,82.3,83102
Idaho,West,30.8,16.1,60.3,78.6,60999
Illinois,Midwest,31.2,16.3,59.6,78.0,68428
Indiana,Midwest,34.6,21.3,55.2,76.2,58235
Iowa,Midwest,33.9,17.7,57.3,78.2,65429
Kansas,Midwest,34.2,18.0,56.4,77.3,62087
Kentucky,South,36.6,23.8,48.3,73.0,52295
Louisiana,South,36.2,22.9,48.2,73.1,50800
Maine,Northeast,28.8,19.5,63.6,78.5,60629
Maryland,South,30.6,13.8,62.1,78.8,94384
Massachusetts,Northeast,25.8,14.0,66.0,81.0,85843
Michigan,Midwest,33.9,20.3,57.5,75.6,59234
Minnesota,Midwest,27.7,16.1,63.4,80.0,74593
Mississippi,South,39.7,23.9,45.2,71.9,45792
Missouri,Midwest,33.5,20.6,55.6,76.2,57290
Montana,West,26.9,19.0,65.2,78.5,57153
Nebraska,Midwest,32.8,17.2,58.2,78.6,65660
Nevada,West,28.9,19.5,58.1,77.1,63276
New Hampshire,Northeast,28.1,16.5,66.0,79.4,77933
New Jersey,Northeast,26.3,13.7,63.5,80.4,89703
New Mexico,West,31.8,17.5,54.1,76.0,51945
New York,Northeast,27.6,14.2,62.0,81.0,72108
North Carolina,South,32.2,17.3,57.1,76.5,57341
North Dakota,Midwest,32.5,18.0,55.7,79.1,65315
Ohio,Midwest,33.8,20.8,56.3,76.1,59117
Oklahoma,South,36.5,22.1,50.1,74.0,54449
Oregon,West,27.6,17.1,64.4,80.0,65667
Pennsylvania,Northeast,31.0,17.5,59.8,77.8,63627
Rhode Island,Northeast,27.4,16.0,63.8,79.8,71169
South Carolina,South,34.1,18.0,54.5,75.3,56227
South Dakota,Midwest,31.6,21.1,56.0,78.0,58275
Tennessee,South,35.8,21.1,51.5,74.8,54833
Texas,South,33.7,16.2,57.3,78.5,64034
Utah,West,25.7,9.2,71.5,81.2,74197
Vermont,Northeast,27.4,17.2,67.0,80.5,63477
Virginia,South,29.2,15.8,61.8,78.5,76456
Washington,West,27.7,13.8,66.0,80.4,78687
West Virginia,South,38.1,25.7,44.9,72.8,48037
Wisconsin,Midwest,31.4,17.6,59.0,79.0,63293
Wyoming,West,27.5,19.7,64.3,77.6,64049
District of Columbia,South,21.9,12.2,67.0,78.2,92266
